variant_id,product_id,product_name,current_sku,possible_reference_sku,possible_reference_name,reason,notes
01f010fd-c400-4bc7-a73c-360494577afe,f8d4fa41-358d-49d6-8779-635c4c5d4b3a,Jota 862 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,JOT-862-FG-010,JOT-862-EFFG-010,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,possible_match,Reference candidate exists but confidence is below safe apply threshold.
2bdbd767-83ff-4845-8e37-b5a5bb74ae64,3bbd1308-acc4-4688-a0d3-d6cc982179f0,Jota 862F Elmas Frez - Kırmızı Kuşak (İnce) Konik Finishing Frezi,JOT-862-FFG-010,JOT-862-EFFG-010,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,possible_match,Reference candidate exists but confidence is below safe apply threshold.
2fbdbdcc-ca7f-48d8-a213-df8ace428026,4616ea15-7442-4463-9e91-d4b81dbaa363,Jota 890F Elmas Frez - Kırmızı Kuşak (İnce) Alev / İnce Uçlu Finishing Frezi,JOT-890-FFG-010,JOT-859-FFG-010,Jota 859F Elmas Frez - Kırmızı Kuşak (İnce) Uzun İğne Finishing Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
22119525-e0c8-4786-91b3-d865c6f8531f,b9bb40a9-22ee-442e-b191-3104d84f52ab,Jota 863EF Elmas Frez - Sarı Extra İnce Alev / Uzun Konik Elmas Frez,JOT-863-EFFG-012,JOT-859-EFFG-012,Jota 859EF Elmas Frez - Sarı Extra İnce Uzun İğne Elmas Frez,possible_match,Reference candidate exists but confidence is below safe apply threshold.
150a1918-23c3-4fb4-917d-23a7e38b928b,1893ebf9-f2b3-4fc7-8d55-d4514938c5b2,Jota 863G Elmas Frez - Yeşil Kuşak (Kaba) Alev / Uzun Konik Hızlı Preparasyon Frezi,JOT-863-GFG-012,JOT-801-GFG-012,Jota 801G Elmas Frez - Yeşil Kuşak (Kaba) Yuvarlak (Round) Hızlı Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
f48cc34c-1f24-4b69-bc97-30e15dd68bc1,3a80184a-87fa-48f3-ab16-d0374dcd3fde,Jota 868G Elmas Frez - Yeşil Kuşak (Kaba) İnce Konik Hızlı Preparasyon Frezi,JOT-868-GFG-014,JOT-801-GFG-014,Jota 801G Elmas Frez - Yeşil Kuşak (Kaba) Yuvarlak (Round) Hızlı Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
e113f113-57be-472c-abc4-7f96b365250c,048929f4-ef88-42d1-88cf-f443727ee715,Jota 859LF Elmas Frez - Kırmızı Kuşak (İnce) Extra Uzun İğne Finishing Frezi,JOT-859L-FFG-014,JOT-859L-FG-014,Jota 859L Elmas Frez - Mavi Kuşak (Standard) Extra Uzun İğne Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
340a7497-11e7-4d76-a10e-dc01d9bbd32c,f3a8c790-e252-40d8-bf5d-db4dceaafbf9,Jota 881G Elmas Frez - Yeşil Kuşak (Kaba) Silindirik Düz Uç Hızlı Preparasyon Frezi,JOT-881-GFG-016,JOT-801-GFG-016,Jota 801G Elmas Frez - Yeşil Kuşak (Kaba) Yuvarlak (Round) Hızlı Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
44a4f7d6-fb38-4509-adaf-c34e31b00e39,3bbd1308-acc4-4688-a0d3-d6cc982179f0,Jota 862F Elmas Frez - Kırmızı Kuşak (İnce) Konik Finishing Frezi,JOT-862-FFG-014,JOT-862-EFFG-014,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,possible_match,Reference candidate exists but confidence is below safe apply threshold.
5f77e25e-6827-4408-9990-5fdab7734baf,1893ebf9-f2b3-4fc7-8d55-d4514938c5b2,Jota 863G Elmas Frez - Yeşil Kuşak (Kaba) Alev / Uzun Konik Hızlı Preparasyon Frezi,JOT-863-GFG-016,JOT-801-GFG-016,Jota 801G Elmas Frez - Yeşil Kuşak (Kaba) Yuvarlak (Round) Hızlı Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
67da54aa-aaf1-4b21-9988-79499e6f82a4,05c6cc68-fc66-4d94-8390-53c9b4fc8f35,Jota 890LF Elmas Frez - Kırmızı Kuşak (İnce) Alev / İnce Uçlu Finishing Frezi,JOT-890L-FFG-008,JOT-801-FG-008,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
71de9e39-dbca-4738-8915-55a55a81fbf8,65b9e28e-83e9-4603-bf73-89851ee6bf4b,Jota 889LF Elmas Frez - Kırmızı Kuşak (İnce) İnce Uçlu Uzun Form Finishing Frezi,JOT-889L-FFG-009,JOT-558-FFG-013,Jota 558F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Uzun Finishing Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
d45380f5-1fec-4aa7-9997-2555d52b0844,1d1303c8-9883-4cff-95df-c7f86ac1e18e,Jota 881 Elmas Frez - Mavi Kuşak (Standard) Silindirik Düz Uç Genel Preparasyon Frezi,JOT-881-FG-016,JOT-801-FG-016,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
e75f8045-9bed-4866-8676-15a82a41c8a1,01dceb19-17ec-4355-9f79-7b50e2d7b78e,Jota Z838L Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya Uzun Silindirik Genel Preparasyon Frezi,JOT-Z838L-FG-014,JOT-801-FG-014,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
ae549d68-9523-41a3-8a54-51741deac9ad,991f8081-b88f-4a9c-87a7-2d3b422cf466,Jota 868 Elmas Frez - Mavi Kuşak (Standard) İnce Konik Genel Preparasyon Frezi,JOT-868-FG-012,JOT-801-FG-012,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
b3d1cbdd-c377-491e-af6b-b49ceff3bd71,f8d4fa41-358d-49d6-8779-635c4c5d4b3a,Jota 862 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,JOT-862-FG-012,JOT-862-EFFG-012,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,possible_match,Reference candidate exists but confidence is below safe apply threshold.
a1c6a784-e008-4518-ac0f-e6de6906abb5,86603b72-74bb-4377-aa0a-04620f2a1350,Jota 881SG Elmas Frez - Siyah Kuşak (Süper Kaba) Silindirik Düz Uç Agresif Preparasyon Frezi,JOT-881-SGFG-014,JOT-801-SGFG-014,Jota 801SG Elmas Frez - Siyah Kuşak (Süper Kaba) Yuvarlak (Round) Agresif Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
8b92b0b2-816d-4a30-95b8-a925df08f09d,8456358d-2455-4514-9d1d-dfc281b54f86,Jota 881F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Düz Uç Finishing Frezi,JOT-881-FFG-016,JOT-820-FFG-016,Jota 820F Elmas Frez - Kırmızı Kuşak (İnce) Tomurcuk / Fine Finishing Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
dd34e233-a932-413a-8fea-ea59aaefd4cd,db04ba05-0ac3-4a89-a1c0-97c76ca9ac29,805 Elmas Frez Paketi,1e37bbf7-c5a5-4cea-b125-72919633d428,,,no_match,No authoritative reference candidate found.
6a133184-e205-41c8-9888-af2709f0bfe0,7b931d0e-2b83-4fa2-9ebb-4075e9421e82,Jota 895F Elmas Frez - Kırmızı Kuşak (İnce) Armut İnce Form Finishing Frezi,JOT-895-FFG-016,JOT-820-FFG-016,Jota 820F Elmas Frez - Kırmızı Kuşak (İnce) Tomurcuk / Fine Finishing Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
6233702a-0502-4fe6-a2c1-7b61e4200590,a4695cdd-9021-4fae-9ca7-0ce5671402a8,Jota C1 Yuvarlak Karbit Frez - Yuvarlak Karbit,7ed0a12a-d94b-43a4-a0d6-dffccf784b62,JOT-801-FG-010,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
54eb6270-e877-45f7-a229-bb9faa2509a4,b3d6bec6-1a60-4a45-9217-90ba66afffe6,Jota C1S Yuvarlak Karbit Frez - Yuvarlak Karbit,156e8995-e839-41d2-87e3-93021707dae1,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
a4d89bb8-c4dc-4f2d-bc7f-3b883ba43f3e,b3d6bec6-1a60-4a45-9217-90ba66afffe6,Jota C1S Yuvarlak Karbit Frez - Yuvarlak Karbit,fa0dc0ee-056e-49f9-a947-33d03d66d055,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
a52c65ed-d993-4706-8e54-361fb413d876,b3d6bec6-1a60-4a45-9217-90ba66afffe6,Jota C1S Yuvarlak Karbit Frez - Yuvarlak Karbit,e742f32f-7cd4-4d8e-ac93-8a442b002117,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
73bcde87-fc25-4b0e-8349-aa7d19738036,b3d6bec6-1a60-4a45-9217-90ba66afffe6,Jota C1S Yuvarlak Karbit Frez - Yuvarlak Karbit,016ff566-564d-4afa-8aa2-d388f9c59648,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
7a79370b-30ec-4c43-a6dd-9895d61cc688,d48da519-675f-4c1a-a167-fe70d5842b26,Jota C23R Alev / İnce Form Karbit Frez - Yuvarlatılmış Uçlu Karbit,2db7594f-b57d-4fcc-b816-fabbe19754f8,JOT-801-FG-012,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
a6c3109a-c125-49a9-a186-0bbb153592a7,e8082824-6785-48a4-91da-724a59d14d10,Jota C2 Silindirik Karbit Frez - Silindirik Karbit,50f10e62-7a03-4e8b-9026-abb5a807d171,JOT-801-FG-012,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
a0a5dfe4-d832-4f1e-b170-14c059e8e5fa,2e3c1517-a447-4df1-9acf-2bf9b24289f9,Jota C21 Silindirik Karbit Frez - Silindirik Karbit,562e73aa-eab4-4cba-b9ad-fb94d1d63ea9,JOT-801-FG-010,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
294cebd6-adb7-4c67-8469-bd36643aaa12,2e3c1517-a447-4df1-9acf-2bf9b24289f9,Jota C21 Silindirik Karbit Frez - Silindirik Karbit,908b4952-7072-4957-ae42-9b6827526082,JOT-801-FG-012,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
21a2c709-e7a0-422c-83b8-b015a840c9f2,0fe13b19-451b-4ea2-b2ed-c6079bea3496,Jota C31 Silindirik Karbit Frez - Silindirik İnce Karbit,9bf46383-3ef6-4cc5-938b-f8361b300fb0,JOT-801-FG-010,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
b4c2e70d-37bb-41c2-9aff-fc13f3fd0021,8d53e6ee-697d-4560-9edc-acdc14208d73,Jota C7 Alev / İnce Form Karbit Frez - Alev Karbit,0090f21e-c336-4ce4-ba23-d6098b428b55,JOT-801-FG-008,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
176608c6-ccb5-49e1-8411-a41a608d9c59,c49a20c1-99c6-452a-afae-8ab274b228d4,Jota RRC31R Finishing Karbit Frez - Finishing Karbit,ced53525-9b22-4a89-b914-05acf0b9196c,JOT-801-FG-012,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
1ef88515-f003-43bd-ad75-b3b5b7d90439,a4b0cb47-048e-4b71-a487-6cec880a733c,Jota C48L Alev / İnce Form Karbit Frez - Uzun İnce Karbit,eaf70ee5-8852-4d65-9187-07858911662b,JOT-801-FG-012,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
5805f959-c0e8-446d-9a5b-f3f1ebfc64af,80403c25-48a4-4012-bbfa-d2a5b71e7b61,Jota CQ1 Konik Karbit Frez - Konik Karbit,e7f4ff58-1c79-4604-bf67-7ed91ea3ab4f,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
880d831f-f274-4251-9ee7-2c1d03efe666,80403c25-48a4-4012-bbfa-d2a5b71e7b61,Jota CQ1 Konik Karbit Frez - Konik Karbit,4cd818c3-2f84-4120-8931-8e95e5276d0e,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
cd230f72-ead2-4126-9855-9c53f395ddd9,4a9ea7e8-fe2b-4e0e-8036-59c5db84d189,Jota CQ1L Konik Karbit Frez - Uzun Konik Karbit,e85a49ec-0cc3-42a9-bec0-5f2f28117044,JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
915956f2-a53e-4ee7-8c84-c216632c3e22,030c0e1a-81bc-4a9f-8a8a-1eec5870d257,Jota C379 Silindirik Karbit Frez - Düz Kesim Karbit,a6223e60-4a80-40de-93f6-d13874a1ae96,JOT-801-FG-018,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
18a55b91-b72d-4a6f-a572-97bf1db27350,cec9427d-2c36-4c5a-a1c3-098056ee9bcf,Kompozit Cilalama Paket,7c220372-9f05-4373-beee-4a0b674db0be,JOT-9765M-RA-POL,Jota 9765M Kompozit Cilalama Ucu (Polisher) - Step 1,possible_match,Reference candidate exists but confidence is below safe apply threshold.
bf7567e2-5487-4720-a82b-281590860262,8e4f68f7-5851-44dd-9857-612e3439d392,Seramik Cilalama Paketi,d61ac0b8-aca7-45ac-b980-b9986a037701,JOT-9765M-RA-POL,Jota 9765M Kompozit Cilalama Ucu (Polisher) - Step 1,possible_match,Reference candidate exists but confidence is below safe apply threshold.
6bdb17e0-31a6-4ef8-8e4a-b1a90da7ddb5,8e4f68f7-5851-44dd-9857-612e3439d392,Seramik Cilalama Paketi,433231b1-587d-4c0f-874a-0a0859fa2bba,JOT-9765M-RA-POL,Jota 9765M Kompozit Cilalama Ucu (Polisher) - Step 1,possible_match,Reference candidate exists but confidence is below safe apply threshold.
6ab5deff-eb17-494b-a588-4b05b59e9804,180c95d6-5e85-41ea-8710-6bb6bc95f597,Jota 801 Elmas Frez Paketi,1bcd3665-65f5-4fc0-a7c4-dec0f75363af,,,no_match,No authoritative reference candidate found.
64b99272-fd8e-48dc-9010-fb92a2a9b62c,180c95d6-5e85-41ea-8710-6bb6bc95f597,Jota 801 Elmas Frez Paketi,66af6707-2c44-4a8f-ae2e-6eeb6486b6f2,,,no_match,No authoritative reference candidate found.
