csv_sku,csv_product_name,csv_price,source_file,match_source,db_variant_code,db_manufacturer_ref,db_product_group_code,old_price,new_price
868.FG.012,JOTA Elmas Frez 868.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-868-FG-012,,ec7fc92e-3b9d-4f86-a8c8-9c0132f801d8,800,1000
868.FG.014,JOTA Elmas Frez 868.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-868-FG-014,,ec7fc92e-3b9d-4f86-a8c8-9c0132f801d8,800,1000
868F.FG.012,JOTA Elmas Frez 868F.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-868-FFG-012,,0d28817d-91ec-4d1d-81b4-fd97e2c75f2d,800,1000
868F.FG.014,JOTA Elmas Frez 868F.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-868-FFG-014,,0d28817d-91ec-4d1d-81b4-fd97e2c75f2d,800,1000
868G.FG.012,JOTA Elmas Frez 868G.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-868-GFG-012,,4bf2d52e-4344-49e2-ad6b-10e92f8c8930,800,1000
868G.FG.014,JOTA Elmas Frez 868G.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-868-GFG-014,,4bf2d52e-4344-49e2-ad6b-10e92f8c8930,800,1000
881.FG.012,JOTA Elmas Frez 881.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-FG-012,,fa2335db-7bd2-498c-993e-b59b28368825,800,1000
881.FG.014,JOTA Elmas Frez 881.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-FG-014,,fa2335db-7bd2-498c-993e-b59b28368825,800,1000
881.FG.016,JOTA Elmas Frez 881.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-FG-016,,fa2335db-7bd2-498c-993e-b59b28368825,800,1000
881F.FG.012,JOTA Elmas Frez 881F.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-FFG-012,,88665765-43cd-4455-83ee-144a0e7ffcbe,800,1000
881F.FG.014,JOTA Elmas Frez 881F.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-FFG-014,,88665765-43cd-4455-83ee-144a0e7ffcbe,800,1000
