sku;ürün adı;fiyat (tl)
850F.FG.014;JOTA Elmas Frez 850F.FG.014 (5'li Paket);1000
850F.FG.016;JOTA Elmas Frez 850F.FG.016 (5'li Paket);1000
850F.FG.018;JOTA Elmas Frez 850F.FG.018 (5'li Paket);1000
850G.FG.014;JOTA Elmas Frez 850G.FG.014 (5'li Paket);1000
850G.FG.016;JOTA Elmas Frez 850G.FG.016 (5'li Paket);1000
850G.FG.018;JOTA Elmas Frez 850G.FG.018 (5'li Paket);1000
851L.FG.016;JOTA Elmas Frez 851L.FG.016 (5'li Paket);1000
852.FG.012;JOTA Elmas Frez 852.FG.012 (5'li Paket);1000
852.FG.014;JOTA Elmas Frez 852.FG.014 (5'li Paket);1000
852.FG.016;JOTA Elmas Frez 852.FG.016 (5'li Paket);1000
852.FG.018;JOTA Elmas Frez 852.FG.018 (5'li Paket);1000
852F.FG.012;JOTA Elmas Frez 852F.FG.012 (5'li Paket);1000
852F.FG.014;JOTA Elmas Frez 852F.FG.014 (5'li Paket);1000
852F.FG.016;JOTA Elmas Frez 852F.FG.016 (5'li Paket);1000
852F.FG.018;JOTA Elmas Frez 852F.FG.018 (5'li Paket);1000
852G.FG.012;JOTA Elmas Frez 852G.FG.012 (5'li Paket);1000
852G.FG.014;JOTA Elmas Frez 852G.FG.014 (5'li Paket);1000
852G.FG.016;JOTA Elmas Frez 852G.FG.016 (5'li Paket);1000
852G.FG.018;JOTA Elmas Frez 852G.FG.018 (5'li Paket);1000
852SG.FG.014;JOTA Elmas Frez 852SG.FG.014 (5'li Paket);1000
852SG.FG.016;JOTA Elmas Frez 852SG.FG.016 (5'li Paket);1000
852SG.FG.018;JOTA Elmas Frez 852SG.FG.018 (5'li Paket);1000
859.FG.010;JOTA Elmas Frez 859.FG.010 (5'li Paket);1000
859.FG.012;JOTA Elmas Frez 859.FG.012 (5'li Paket);1000
859.FG.014;JOTA Elmas Frez 859.FG.014 (5'li Paket);1000
859EF.FG.010;JOTA Elmas Frez 859EF.FG.010 (5'li Paket);1000
859EF.FG.012;JOTA Elmas Frez 859EF.FG.012 (5'li Paket);1000
859EF.FG.014;JOTA Elmas Frez 859EF.FG.014 (5'li Paket);1000
859F.FG.010;JOTA Elmas Frez 859F.FG.010 (5'li Paket);1000
859F.FG.012;JOTA Elmas Frez 859F.FG.012 (5'li Paket);1000
859F.FG.014;JOTA Elmas Frez 859F.FG.014 (5'li Paket);1000
859G.FG.012;JOTA Elmas Frez 859G.FG.012 (5'li Paket);1000
859G.FG.014;JOTA Elmas Frez 859G.FG.014 (5'li Paket);1000
859L.FG.010;JOTA Elmas Frez 859L.FG.010 (5'li Paket);1000
859L.FG.012;JOTA Elmas Frez 859L.FG.012 (5'li Paket);1000
859L.FG.014;JOTA Elmas Frez 859L.FG.014 (5'li Paket);1000
859LF.FG.010;JOTA Elmas Frez 859LF.FG.010 (5'li Paket);1000
859LF.FG.012;JOTA Elmas Frez 859LF.FG.012 (5'li Paket);1000
859LF.FG.014;JOTA Elmas Frez 859LF.FG.014 (5'li Paket);1000
862.FG.010;JOTA Elmas Frez 862.FG.010 (5'li Paket);1000
862.FG.012;JOTA Elmas Frez 862.FG.012 (5'li Paket);1000
862EF.FG.010;JOTA Elmas Frez 862EF.FG.010 (5'li Paket);1000
862EF.FG.012;JOTA Elmas Frez 862EF.FG.012 (5'li Paket);1000
862EF.FG.014;JOTA Elmas Frez 862EF.FG.014 (5'li Paket);1000
862F.FG.010;JOTA Elmas Frez 862F.FG.010 (5'li Paket);1000
862F.FG.012;JOTA Elmas Frez 862F.FG.012 (5'li Paket);1000
862F.FG.014;JOTA Elmas Frez 862F.FG.014 (5'li Paket);1000
862G.FG.010;JOTA Elmas Frez 862G.FG.010 (5'li Paket);1000
862G.FG.012;JOTA Elmas Frez 862G.FG.012 (5'li Paket);1000
862G.FG.014;JOTA Elmas Frez 862G.FG.014 (5'li Paket);1000
863.FG.012;JOTA Elmas Frez 863.FG.012 (5'li Paket);1000
863EF.FG.012;JOTA Elmas Frez 863EF.FG.012 (5'li Paket);1000
863F.FG.012;JOTA Elmas Frez 863F.FG.012 (5'li Paket);1000
863G.FG.012;JOTA Elmas Frez 863G.FG.012 (5'li Paket);1000
863G.FG.014;JOTA Elmas Frez 863G.FG.014 (5'li Paket);1000
863G.FG.016;JOTA Elmas Frez 863G.FG.016 (5'li Paket);1000
863SG.FG.016;JOTA Elmas Frez 863SG.FG.016 (5'li Paket);1000
868.FG.012;JOTA Elmas Frez 868.FG.012 (5'li Paket);1000
868.FG.014;JOTA Elmas Frez 868.FG.014 (5'li Paket);1000
868F.FG.012;JOTA Elmas Frez 868F.FG.012 (5'li Paket);1000
868F.FG.014;JOTA Elmas Frez 868F.FG.014 (5'li Paket);1000
868G.FG.012;JOTA Elmas Frez 868G.FG.012 (5'li Paket);1000
868G.FG.014;JOTA Elmas Frez 868G.FG.014 (5'li Paket);1000
881.FG.012;JOTA Elmas Frez 881.FG.012 (5'li Paket);1000
881.FG.014;JOTA Elmas Frez 881.FG.014 (5'li Paket);1000
881.FG.016;JOTA Elmas Frez 881.FG.016 (5'li Paket);1000
881F.FG.012;JOTA Elmas Frez 881F.FG.012 (5'li Paket);1000
881F.FG.014;JOTA Elmas Frez 881F.FG.014 (5'li Paket);1000
881F.FG.016;JOTA Elmas Frez 881F.FG.016 (5'li Paket);1000
881G.FG.012;JOTA Elmas Frez 881G.FG.012 (5'li Paket);1000
881G.FG.014;JOTA Elmas Frez 881G.FG.014 (5'li Paket);1000
881G.FG.016;JOTA Elmas Frez 881G.FG.016 (5'li Paket);1000
881SG.FG.012;JOTA Elmas Frez 881SG.FG.012 (5'li Paket);1000
881SG.FG.014;JOTA Elmas Frez 881SG.FG.014 (5'li Paket);1000
889LF.FG.009;JOTA Elmas Frez 889LF.FG.009 (5'li Paket);775
890F.FG.010;JOTA Elmas Frez 890F.FG.010 (5'li Paket);775
890LF.FG.008;JOTA Elmas Frez 890LF.FG.008 (5'li Paket);775
895F.FG.016;JOTA Elmas Frez 895F.FG.016 (5'li Paket);775
Z801L.FG.014;JOTA Elmas Frez Z801L.FG.014 (5'li Paket);2350
Z818.FG.060;JOTA Elmas Frez Z818.FG.060 (5'li Paket);4025
Z838L.FG.014;JOTA Elmas Frez Z838L.FG.014 (5'li Paket);2350
Z850.FG.018;JOTA Elmas Frez Z850.FG.018 (5'li Paket);2350
Z850F.FG.018;JOTA Elmas Frez Z850F.FG.018 (5'li Paket);2350
C1.FG.010;JOTA Karbid Frez C1.FG.010 (5'li Paket);950
C1.FG.012;JOTA Karbid Frez C1.FG.012 (5'li Paket);950
C1.FG.014;JOTA Karbid Frez C1.FG.014 (5'li Paket);950
C1.FG.016;JOTA Karbid Frez C1.FG.016 (5'li Paket);950
C1.FG.018;JOTA Karbid Frez C1.FG.018 (5'li Paket);950
C1.RA.010;JOTA Karbid Frez C1.RA.010 (5'li Paket);950
C1.RA.012;JOTA Karbid Frez C1.RA.012 (5'li Paket);950
C1.RA.014;JOTA Karbid Frez C1.RA.014 (5'li Paket);950
C1.RA.016;JOTA Karbid Frez C1.RA.016 (5'li Paket);950
C1.RA.018;JOTA Karbid Frez C1.RA.018 (5'li Paket);950
C1.RA.021;JOTA Karbid Frez C1.RA.021 (5'li Paket);950
C1.RA.023;JOTA Karbid Frez C1.RA.023 (5'li Paket);950
C1S.FG.014;JOTA Karbid Frez C1S.FG.014 (5'li Paket);950
C1S.FG.016;JOTA Karbid Frez C1S.FG.016 (5'li Paket);950
C1S.FG.018;JOTA Karbid Frez C1S.FG.018 (5'li Paket);950
C1S.RA.010;JOTA Karbid Frez C1S.RA.010 (5'li Paket);950
C1S.RA.012;JOTA Karbid Frez C1S.RA.012 (5'li Paket);950
C1S.RA.014;JOTA Karbid Frez C1S.RA.014 (5'li Paket);950
C1S.RA.016;JOTA Karbid Frez C1S.RA.016 (5'li Paket);950
C1S.RA.018;JOTA Karbid Frez C1S.RA.018 (5'li Paket);950
C1S.RA.021;JOTA Karbid Frez C1S.RA.021 (5'li Paket);950
C1S.RA.023;JOTA Karbid Frez C1S.RA.023 (5'li Paket);950
C1S.RAL.010;JOTA Karbid Frez C1S.RAL.010 (5'li Paket);1075
C1S.RAL.012;JOTA Karbid Frez C1S.RAL.012 (5'li Paket);1075
C1S.RAL.014;JOTA Karbid Frez C1S.RAL.014 (5'li Paket);1075
C1S.RAL.016;JOTA Karbid Frez C1S.RAL.016 (5'li Paket);1075
C1S.RAL.018;JOTA Karbid Frez C1S.RAL.018 (5'li Paket);1075
C1S.RAL.021;JOTA Karbid Frez C1S.RAL.021 (5'li Paket);1075
C1S.RAL.023;JOTA Karbid Frez C1S.RAL.023 (5'li Paket);1075
CQ1.RA.016;JOTA Karbid Frez CQ1.RA.016 (5'li Paket);950
CQ1.RA.018;JOTA Karbid Frez CQ1.RA.018 (5'li Paket);950
CQ1L.RA.016;JOTA Karbid Frez CQ1L.RA.016 (5'li Paket);1075
CQ1L.RA.018;JOTA Karbid Frez CQ1L.RA.018 (5'li Paket);1075
C2.FG.012;JOTA Karbid Frez C2.FG.012 (5'li Paket);950
C2.FG.014;JOTA Karbid Frez C2.FG.014 (5'li Paket);950
C7.FG.008;JOTA Karbid Frez C7.FG.008 (5'li Paket);950
C7.FG.010;JOTA Karbid Frez C7.FG.010 (5'li Paket);950
C21.FG.010;JOTA Karbid Frez C21.FG.010 (5'li Paket);950
C21.FG.012;JOTA Karbid Frez C21.FG.012 (5'li Paket);950
C23R.FG.012;JOTA Karbid Frez C23R.FG.012 (5'li Paket);1075
C23R.RA.016;JOTA Karbid Frez C23R.RA.016 (5'li Paket);1075
C31.FG.010;JOTA Karbid Frez C31.FG.010 (5'li Paket);950
C31R.FG.012;JOTA Karbid Frez C31R.FG.012 (5'li Paket);1075
C33.FG.010;JOTA Karbid Frez C33.FG.010 (5'li Paket);950
C33.FG.012;JOTA Karbid Frez C33.FG.012 (5'li Paket);950
C48L.FG.012;JOTA Karbid Frez C48L.FG.012 (5'li Paket);3350
C31A.FG.012;JOTA Karbid Frez C31A.FG.012 (5'li Paket);2425
CX21.FG.012;JOTA Karbid Frez CX21.FG.012 (5'li Paket);2425
CX23R.FG.012;JOTA Karbid Frez CX23R.FG.012 (5'li Paket);2425
RRC31R.FG.012;JOTA Karbid Frez RRC31R.FG.012 (5'li Paket);2950
RRC7.FG.008;JOTA Karbid Frez RRC7.FG.008 (5'li Paket);2950
CG35RS.FG.012;JOTA Karbid Frez CG35RS.FG.012 (5'li Paket);3775
C379.FG.018;JOTA Karbid Frez C379.FG.018 (5'li Paket);3350
C379.FG.023;JOTA Karbid Frez C379.FG.023 (5'li Paket);3350
C379.RA.018;JOTA Karbid Frez C379.RA.018 (5'li Paket);3350
C379.RA.023;JOTA Karbid Frez C379.RA.023 (5'li Paket);3350
C244K.FG.016;JOTA Karbid Frez C244K.FG.016 (5'li Paket);3350
9113M.RA.050;JOTA Polisaj / Cilalama 9113M.RA.050 (5'li Paket);550
9150.RA.140;JOTA Polisaj / Cilalama 9150.RA.140 (5'li Paket);1075
9501F.RA.030;JOTA Polisaj / Cilalama 9501F.RA.030 (3'li Paket);325
9501G.RA.030;JOTA Polisaj / Cilalama 9501G.RA.030 (2'li Paket);225
9501M.RA.030;JOTA Polisaj / Cilalama 9501M.RA.030 (5'li Paket);550
9765F.RA.055;JOTA Polisaj / Cilalama 9765F.RA.055 (2'li Paket);1400
9765M.RA.055;JOTA Polisaj / Cilalama 9765M.RA.055 (2'li Paket);1400
9805.RA.140;JOTA Polisaj / Cilalama 9805.RA.140 (2'li Paket);1500
9805F.RA.140;JOTA Polisaj / Cilalama 9805F.RA.140 (2'li Paket);1500
9805G.RA.140;JOTA Polisaj / Cilalama 9805G.RA.140 (2'li Paket);1500
9805M.RA.140;JOTA Polisaj / Cilalama 9805M.RA.140 (2'li Paket);1500
9812F.RA.040;JOTA Polisaj / Cilalama 9812F.RA.040 (2'li Paket);1075
9812G.RA.040;JOTA Polisaj / Cilalama 9812G.RA.040 (2'li Paket);1075
9812M.RA.040;JOTA Polisaj / Cilalama 9812M.RA.040 (2'li Paket);1075
9813F.RA.060;JOTA Polisaj / Cilalama 9813F.RA.060 (2'li Paket);1075
9813G.RA.060;JOTA Polisaj / Cilalama 9813G.RA.060 (2'li Paket);1075
9813M.RA.060;JOTA Polisaj / Cilalama 9813M.RA.060 (2'li Paket);1075
9825.RA.030;JOTA Polisaj / Cilalama 9825.RA.030 (2'li Paket);1075
9826.RA.060;JOTA Polisaj / Cilalama 9826.RA.060 (2'li Paket);1075
9828.RA.040;JOTA Polisaj / Cilalama 9828.RA.040 (2'li Paket);1075
9829.RA.140;JOTA Polisaj / Cilalama 9829.RA.140 (2'li Paket);1500
9831.RA.030;JOTA Polisaj / Cilalama 9831.RA.030 (2'li Paket);1075
9832.RA.060;JOTA Polisaj / Cilalama 9832.RA.060 (2'li Paket);1075
9834.RA.040;JOTA Polisaj / Cilalama 9834.RA.040 (2'li Paket);1075
9837.RA.140;JOTA Polisaj / Cilalama 9837.RA.140 (2'li Paket);1500
LS9871F.RA.040;JOTA Polisaj / Cilalama LS9871F.RA.040 (2'li Paket);1075
LS9871M.RA.040;JOTA Polisaj / Cilalama LS9871M.RA.040 (2'li Paket);1075
LS9873F.RA.140;JOTA Polisaj / Cilalama LS9873F.RA.140 (2'li Paket);1500
LS9873M.RA.140;JOTA Polisaj / Cilalama LS9873M.RA.140 (2'li Paket);1500
ZIR9861F.RA.040;JOTA Polisaj / Cilalama ZIR9861F.RA.040 (2'li Paket);1075
ZIR9861M.RA.040;JOTA Polisaj / Cilalama ZIR9861M.RA.040 (2'li Paket);1075
ZIR9863F.RA.140;JOTA Polisaj / Cilalama ZIR9863F.RA.140 (2'li Paket);1500
ZIR9863M.RA.140;JOTA Polisaj / Cilalama ZIR9863M.RA.140 (2'li Paket);1500
601.FG.030.ARK;JOTA Arkansas / Aşındırıcı 601.FG.030.ARK (5'li Paket);800
601.RA.030.ARK;JOTA Arkansas / Aşındırıcı 601.RA.030.ARK (5'li Paket);800
6198.FG.023.ARK;JOTA Arkansas / Aşındırıcı 6198.FG.023.ARK (5'li Paket);800
6198.RA.023.ARK;JOTA Arkansas / Aşındırıcı 6198.RA.023.ARK (5'li Paket);800
645.FG.028.ARK;JOTA Arkansas / Aşındırıcı 645.FG.028.ARK (5'li Paket);800
645.RA.028.ARK;JOTA Arkansas / Aşındırıcı 645.RA.028.ARK (5'li Paket);800
661.FG.025.ARK;JOTA Arkansas / Aşındırıcı 661.FG.025.ARK (5'li Paket);800
661.RA.025.ARK;JOTA Arkansas / Aşındırıcı 661.RA.025.ARK (5'li Paket);800
666.FG.025.ARK;JOTA Arkansas / Aşındırıcı 666.FG.025.ARK (5'li Paket);800
666.RA.025.ARK;JOTA Arkansas / Aşındırıcı 666.RA.025.ARK (5'li Paket);800
GP662.RA.035;JOTA Arkansas / Aşındırıcı GP662.RA.035 (2'li Paket);1075
SD661F.RA.025;JOTA Arkansas / Aşındırıcı SD661F.RA.025 (5'li Paket);4025
C151.FGL.016;JOTA Cerrahi Frez C151.FGL.016 (5'li Paket);3225
C151.FGXL.016;JOTA Cerrahi Frez C151.FGXL.016 (5'li Paket);3225
C152.FGL.014;JOTA Cerrahi Frez C152.FGL.014 (5'li Paket);3225
